No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
152,5.96E-08,1.06E-09,6.199468374,0.96190787,6.199468374,0.96190787,0:1 1:1 2:1 3:1 4:1 5:3 6:5 7:6 8:6 9:8 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:-1  from:2 to:6 operator:12  from:2 to:7 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:17  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,45
158,5.96E-08,9.04E-10,5.665884733,0.977292028,5.665884733,0.977292028,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:6 8:7 9:9 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:8  from:1 to:9 operator:12  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,50
159,1.19E-07,1.72E-09,6.668834925,0.979349558,6.668834925,0.979349558,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:5 8:8 9:15 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:4 to:5 operator:-1  from:4 to:8 operator:12  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,50
162,0,0,6.360126257,1.253128081,6.360126257,1.253128081,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:7 8:8 9:9 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:7 operator:12  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:-1  from:2 to:3 operator:4  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,50
165,1.19E-07,2.66E-09,5.943531513,0.93298376,5.943531513,0.93298376,0:1 1:1 2:1 3:1 4:1 5:3 6:4 7:5 8:6 9:8 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:7 operator:8  from:0 to:8 operator:9  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:11  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,52
166,5.96E-08,2.63E-09,5.802446127,0.855382384,5.802446127,0.855382384,0:1 1:1 2:1 3:1 4:3 5:3 6:3 7:7 8:10 9:11 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:4 operator:12  from:2 to:3 operator:13  from:2 to:4 operator:17  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,52
167,0,0,5.845482111,1.061674327,5.845482111,1.061674327,0:1 1:1 2:1 3:3 4:4 5:5 6:6 7:6 8:6 9:10 ,from:0 to:1 operator:-1  from:0 to:3 operator:12  from:0 to:5 operator:-1  from:1 to:2 operator:12  from:1 to:3 operator:8  from:1 to:4 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,52
170,5.96E-08,3.61E-09,5.460296392,0.909056627,5.460296392,0.909056627,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:6 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:12  from:8 to:9 operator:-1  ,53
175,0,0,5.741046429,0.849588106,5.741046429,0.849588106,0:1 1:1 2:1 3:1 4:2 5:3 6:4 7:4 8:4 9:7 ,from:0 to:1 operator:-1  from:0 to:5 operator:-1  from:1 to:2 operator:12  from:1 to:4 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:3 to:9 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,57
180,0,0,6.246881723,1.120065096,6.246881723,1.120065096,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:3 8:5 9:7 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:12  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:5 to:8 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,60
