No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,tfjschrome_tfjsmsedge_max_diff,tfjschrome_tfjsmsedge_mean_diff,tfjsmsedge_torch_max_diff,tfjsmsedge_torch_mean_diff,tfjsmsedge_tf_max_diff,tfjsmsedge_tf_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,56
94,5.9604645e-08,4.320302e-09,1.1920928955078125e-07,8.675097315399735e-09,1.1920928955078125e-07,9.822003819324352e-09,0.0,0.0,1.1920928955078125e-07,8.675097315399735e-09,1.1920928955078125e-07,9.822003819324352e-09,8.940696716308594e-08,6.8857506939100105e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,58
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,58
96,5.9604645e-08,3.8546406e-09,1.1920928955078125e-07,8.821694387329949e-09,1.1920928955078125e-07,9.692653461738868e-09,0.0,0.0,1.1920928955078125e-07,8.821694387329949e-09,1.1920928955078125e-07,9.692653461738868e-09,8.940696716308594e-08,6.813889384140297e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,58
98,5.9604645e-08,4.1823283e-09,1.1920928955078125e-07,9.295979031810054e-09,1.1920928955078125e-07,1.0391145392700477e-08,0.0,0.0,1.1920928955078125e-07,9.295979031810054e-09,1.1920928955078125e-07,1.0391145392700477e-08,8.940696716308594e-08,7.259429518418974e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:13  from:4 to:5 operator:19  from:5 to:6 operator:19  ,59
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,67
109,0.0,0.0,4.76837158203125e-07,7.15221243875998e-08,4.76837158203125e-07,7.15221243875998e-08,0.0,0.0,4.76837158203125e-07,7.15221243875998e-08,4.76837158203125e-07,7.15221243875998e-08,3.178914388020833e-07,4.7681416258399863e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:4  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:5  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,68
111,1.1920929e-07,7.0539063e-09,2.384185791015625e-07,2.499048908551534e-08,2.384185791015625e-07,2.5680357659304582e-08,0.0,0.0,2.384185791015625e-07,2.499048908551534e-08,2.384185791015625e-07,2.5680357659304582e-08,1.7881393432617188e-07,1.8065933306260015e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:13  from:1 to:2 operator:13  from:2 to:3 operator:19  from:3 to:4 operator:13  from:4 to:5 operator:19  from:5 to:6 operator:19  ,69
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,69
114,5.9604645e-08,4.0960946e-09,1.1920928955078125e-07,9.183875388569302e-09,1.1920928955078125e-07,1.019280817773607e-08,0.0,0.0,1.1920928955078125e-07,9.183875388569302e-09,1.1920928955078125e-07,1.019280817773607e-08,8.940696716308594e-08,7.141576951207606e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:13  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,70
