No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
1305,1.19E-07,1.41E-08,3.787826031,0.388242842,3.787826031,0.388242842,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:6 9:13 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:11  from:5 to:6 operator:5  from:5 to:9 operator:17  from:6 to:7 operator:16  from:6 to:9 operator:16  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,869
1306,2.98E-07,1.47E-08,4.598339856,0.279702197,4.598339796,0.279702194,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:20 ,from:0 to:1 operator:-1  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:11  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:6 to:9 operator:4  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,869
1314,2.98E-07,1.54E-08,3.663621038,0.287572876,3.663621038,0.287572876,0:1 1:1 2:1 3:2 4:4 5:4 6:4 7:4 8:8 9:20 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:2 to:4 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:16  from:4 to:9 operator:8  from:5 to:6 operator:5  from:5 to:9 operator:4  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,876
1316,2.98E-07,1.72E-08,3.537913262,0.299165593,3.537913262,0.299165589,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:4  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,877
1327,4.17E-07,2.21E-08,2.881382763,0.195168965,2.881382763,0.195168962,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:16  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:4  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,887
1328,1.19E-07,1.27E-08,4.371120319,0.451511815,4.371120319,0.451511815,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:9 9:10 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:11  from:5 to:6 operator:5  from:5 to:8 operator:16  from:5 to:9 operator:17  from:6 to:7 operator:16  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,887
1329,1.79E-07,1.32E-08,2.5297966,0.442921848,2.5297966,0.442921848,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:9 9:12 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:6 to:8 operator:4  from:7 to:8 operator:10  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,887
1331,1.79E-07,1.33E-08,2.211156785,0.4596499,2.211156785,0.4596499,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:9 9:12 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:6 to:8 operator:16  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,888
1338,1.79E-07,9.96E-09,2.961453676,0.406859669,2.961453676,0.40685967,0:1 1:1 2:1 3:2 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:5  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,894
1339,4.77E-07,1.18E-08,3.50633955,0.491649901,3.50633961,0.491649899,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:5  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:4  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,894
1344,2.98E-07,2.05E-08,3.814022243,0.188536785,3.814022243,0.188536783,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:20 ,from:0 to:1 operator:-1  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:11  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:6 to:9 operator:4  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,898
